Code,Libellé
"A01.11Z - Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
A01.12Z - Culture du riz,Culture du riz
"A01.13Z - Culture de légumes, de melons, de racines et de tubercules","Culture de légumes, de melons, de racines et de tubercules"
A01.14Z - Culture de la canne à sucre,Culture de la canne à sucre
A01.15Z - Culture du tabac,Culture du tabac
A01.16Z - Culture de plantes à fibres,Culture de plantes à fibres
A01.19Z - Autres cultures non permanentes,Autres cultures non permanentes
A01.21Z - Culture de la vigne,Culture de la vigne
A01.22Z - Culture de fruits tropicaux et subtropicaux,Culture de fruits tropicaux et subtropicaux
A01.23Z - Culture d'agrumes,Culture d'agrumes
A01.24Z - Culture de fruits à pépins et à noyau,Culture de fruits à pépins et à noyau
A01.25Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
A01.26Z - Culture de fruits oléagineux,Culture de fruits oléagineux
A01.27Z - Culture de plantes à boissons,Culture de plantes à boissons
"A01.28Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
A01.29Z - Autres cultures permanentes,Autres cultures permanentes
A01.30Z - Reproduction de plantes,Reproduction de plantes
A01.41Z - Élevage de vaches laitières,Élevage de vaches laitières
A01.42Z - Élevage d'autres bovins et de buffles,Élevage d'autres bovins et de buffles
A01.43Z - Élevage de chevaux et d'autres équidés,Élevage de chevaux et d'autres équidés
A01.44Z - Élevage de chameaux et d'autres camélidés,Élevage de chameaux et d'autres camélidés
A01.45Z - Élevage d'ovins et de caprins,Élevage d'ovins et de caprins
A01.46Z - Élevage de porcins,Élevage de porcins
A01.47Z - Élevage de volailles,Élevage de volailles
A01.49Z - Élevage d'autres animaux,Élevage d'autres animaux
A01.50Z - Culture et élevage associés,Culture et élevage associés
A01.61Z - Activités de soutien aux cultures,Activités de soutien aux cultures
A01.62Z - Activités de soutien à la production animale,Activités de soutien à la production animale
A01.63Z - Traitement primaire des récoltes,Traitement primaire des récoltes
A01.64Z - Traitement des semences,Traitement des semences
"A01.70Z - Chasse, piégeage et services annexes","Chasse, piégeage et services annexes"
A02.10Z - Sylviculture et autres activités forestières,Sylviculture et autres activités forestières
A02.20Z - Exploitation forestière,Exploitation forestière
A02.30Z - Récolte de produits forestiers non ligneux poussant à l'état sauvage,Récolte de produits forestiers non ligneux poussant à l'état sauvage
A02.40Z - Services de soutien à l'exploitation forestière,Services de soutien à l'exploitation forestière
A03.11Z - Pêche en mer,Pêche en mer
A03.12Z - Pêche en eau douce,Pêche en eau douce
A03.21Z - Aquaculture en mer,Aquaculture en mer
A03.22Z - Aquaculture en eau douce,Aquaculture en eau douce
B05.10Z - Extraction de houille,Extraction de houille
B05.20Z - Extraction de lignite,Extraction de lignite
B06.10Z - Extraction de pétrole brut,Extraction de pétrole brut
B06.20Z - Extraction de gaz naturel,Extraction de gaz naturel
B07.10Z - Extraction de minerais de fer,Extraction de minerais de fer
B07.21Z - Extraction de minerais d'uranium et de thorium,Extraction de minerais d'uranium et de thorium
B07.29Z - Extraction d'autres minerais de métaux non ferreux,Extraction d'autres minerais de métaux non ferreux
"B08.11Z - Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise"
"B08.12Z - Exploitation de gravières et sablières, extraction d'argiles et de kaolin","Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
B08.91Z - Extraction des minéraux chimiques et d'engrais minéraux,Extraction des minéraux chimiques et d'engrais minéraux
B08.92Z - Extraction de tourbe,Extraction de tourbe
B08.93Z - Production de sel,Production de sel
B08.99Z - Autres activités extractives n.c.a.,Autres activités extractives n.c.a.
B09.10Z - Activités de soutien à l'extraction d'hydrocarbures,Activités de soutien à l'extraction d'hydrocarbures
B09.90Z - Activités de soutien aux autres industries extractives,Activités de soutien aux autres industries extractives
C10.11Z - Transformation et conservation de la viande de boucherie,Transformation et conservation de la viande de boucherie
C10.12Z - Transformation et conservation de la viande de volaille,Transformation et conservation de la viande de volaille
C10.13A - Préparation industrielle de produits à base de viande,Préparation industrielle de produits à base de viande
C10.13B - Charcuterie,Charcuterie
"C10.20Z - Transformation et conservation de poisson, de crustacés et de mollusques","Transformation et conservation de poisson, de crustacés et de mollusques"
C10.31Z - Transformation et conservation de pommes de terre,Transformation et conservation de pommes de terre
C10.32Z - Préparation de jus de fruits et légumes,Préparation de jus de fruits et légumes
C10.39A - Autre transformation et conservation de légumes,Autre transformation et conservation de légumes
C10.39B - Transformation et conservation de fruits,Transformation et conservation de fruits
C10.41A - Fabrication d'huiles et graisses brutes,Fabrication d'huiles et graisses brutes
C10.41B - Fabrication d'huiles et graisses raffinées,Fabrication d'huiles et graisses raffinées
C10.42Z - Fabrication de margarine et graisses comestibles similaires,Fabrication de margarine et graisses comestibles similaires
C10.51A - Fabrication de lait liquide et de produits frais,Fabrication de lait liquide et de produits frais
C10.51B - Fabrication de beurre,Fabrication de beurre
C10.51C - Fabrication de fromage,Fabrication de fromage
C10.51D - Fabrication d'autres produits laitiers,Fabrication d'autres produits laitiers
C10.52Z - Fabrication de glaces et sorbets,Fabrication de glaces et sorbets
C10.61A - Meunerie,Meunerie
C10.61B - Autres activités du travail des grains,Autres activités du travail des grains
C10.62Z - Fabrication de produits amylacés,Fabrication de produits amylacés
C10.71A - Fabrication industrielle de pain et de pâtisserie fraîche,Fabrication industrielle de pain et de pâtisserie fraîche
C10.71B - Cuisson de produits de boulangerie,Cuisson de produits de boulangerie
C10.71C - Boulangerie et boulangerie-pâtisserie,Boulangerie et boulangerie-pâtisserie
C10.71D - Pâtisserie,Pâtisserie
"C10.72Z - Fabrication de biscuits, biscottes et pâtisseries de conservation","Fabrication de biscuits, biscottes et pâtisseries de conservation"
C10.73Z - Fabrication de pâtes alimentaires,Fabrication de pâtes alimentaires
C10.81Z - Fabrication de sucre,Fabrication de sucre
"C10.82Z - Fabrication de cacao, chocolat et de produits de confiserie","Fabrication de cacao, chocolat et de produits de confiserie"
C10.83Z - Transformation du thé et du café,Transformation du thé et du café
C10.84Z - Fabrication de condiments et assaisonnements,Fabrication de condiments et assaisonnements
C10.85Z - Fabrication de plats préparés,Fabrication de plats préparés
C10.86Z - Fabrication d'aliments homogénéisés et diététiques,Fabrication d'aliments homogénéisés et diététiques
C10.89Z - Fabrication d'autres produits alimentaires n.c.a.,Fabrication d'autres produits alimentaires n.c.a.
C10.91Z - Fabrication d'aliments pour animaux de ferme,Fabrication d'aliments pour animaux de ferme
C10.92Z - Fabrication d'aliments pour animaux de compagnie,Fabrication d'aliments pour animaux de compagnie
C11.01Z - Production de boissons alcooliques distillées,Production de boissons alcooliques distillées
C11.02A - Fabrication de vins effervescents,Fabrication de vins effervescents
C11.02B - Vinification,Vinification
C11.03Z - Fabrication de cidre et de vins de fruits,Fabrication de cidre et de vins de fruits
C11.04Z - Production d'autres boissons fermentées non distillées,Production d'autres boissons fermentées non distillées
C11.05Z - Fabrication de bière,Fabrication de bière
C11.06Z - Fabrication de malt,Fabrication de malt
C11.07A - Industrie des eaux de table,Industrie des eaux de table
C11.07B - Production de boissons rafraîchissantes,Production de boissons rafraîchissantes
C12.00Z - Fabrication de produits à base de tabac,Fabrication de produits à base de tabac
C13.10Z - Préparation de fibres textiles et filature,Préparation de fibres textiles et filature
C13.20Z - Tissage,Tissage
C13.30Z - Ennoblissement textile,Ennoblissement textile
C13.91Z - Fabrication d'étoffes à mailles,Fabrication d'étoffes à mailles
"C13.92Z - Fabrication d'articles textiles, sauf habillement","Fabrication d'articles textiles, sauf habillement"
C13.93Z - Fabrication de tapis et moquettes,Fabrication de tapis et moquettes
"C13.94Z - Fabrication de ficelles, cordes et filets","Fabrication de ficelles, cordes et filets"
"C13.95Z - Fabrication de non-tissés, sauf habillement","Fabrication de non-tissés, sauf habillement"
C13.96Z - Fabrication d'autres textiles techniques et industriels,Fabrication d'autres textiles techniques et industriels
C13.99Z - Fabrication d'autres textiles n.c.a.,Fabrication d'autres textiles n.c.a.
C14.11Z - Fabrication de vêtements en cuir,Fabrication de vêtements en cuir
C14.12Z - Fabrication de vêtements de travail,Fabrication de vêtements de travail
C14.13Z - Fabrication de vêtements de dessus,Fabrication de vêtements de dessus
C14.14Z - Fabrication de vêtements de dessous,Fabrication de vêtements de dessous
C14.19Z - Fabrication d'autres vêtements et accessoires,Fabrication d'autres vêtements et accessoires
C14.20Z - Fabrication d'articles en fourrure,Fabrication d'articles en fourrure
C14.31Z - Fabrication d'articles chaussants à mailles,Fabrication d'articles chaussants à mailles
C14.39Z - Fabrication d'autres articles à mailles,Fabrication d'autres articles à mailles
C15.11Z - Apprêt et tannage des cuirs ; préparation et teinture des fourrures,Apprêt et tannage des cuirs ; préparation et teinture des fourrures
"C15.12Z - Fabrication d'articles de voyage, de maroquinerie et de sellerie","Fabrication d'articles de voyage, de maroquinerie et de sellerie"
