Code,Libellé
N82.1,Activités administratives
N82.2,Activités de centres d'appels
N82.3,Organisation de salons professionnels et congrès
N82.9,Activités de soutien aux entreprises n.c.a.
O84.1,"Administration générale, économique et sociale"
O84.2,Services de prérogative publique
O84.3,Sécurité sociale obligatoire
P85.1,Enseignement pré-primaire
P85.2,Enseignement primaire
P85.3,Enseignement secondaire
P85.4,Enseignement supérieur et post-secondaire non supérieur
P85.5,Autres activités d'enseignement
P85.6,Activités de soutien à l'enseignement
Q86.1,Activités hospitalières
Q86.2,Activité des médecins et des dentistes
Q86.9,Autres activités pour la santé humaine
Q87.1,Hébergement médicalisé
Q87.2,"Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes"
Q87.3,Hébergement social pour personnes âgées ou handicapées physiques
Q87.9,Autres activités d'hébergement social
Q88.1,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées
Q88.9,Autre action sociale sans hébergement
R90.0,"Activités créatives, artistiques et de spectacle"
R91.0,"Bibliothèques, archives, musées et autres activités culturelles"
R92.0,Organisation de jeux de hasard et d'argent
R93.1,Activités liées au sport
R93.2,Activités récréatives et de loisirs
S94.1,"Activités des organisations économiques, patronales et professionnelles"
S94.2,Activités des syndicats de salariés
S94.9,Activités des autres organisations associatives
S95.1,Réparation d'ordinateurs et d'équipements de communication
S95.2,Réparation de biens personnels et domestiques
S96.0,Autres services personnels
T97.0,Activités des ménages en tant qu'employeurs de personnel domestique
T98.1,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
T98.2,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
U99.0,Activités des organisations et organismes extraterritoriaux
